Marca temporal,¿Cuál es tu rango de edad?,¿Cuál es tu rango de ingreso mensual?,¿Cuántas aplicaciones bancarias o financieras utilizas activamente?,¿Conoces qué es una fintech?,¿Qué tipo de instituciones financiera utilizas con mayor frecuencia?,¿Cuáles Fintechs utilizas? (Selección múltiple),"Si utilizas fintechs, ¿qué te preocupa de usarlas? (Selección múltiple)",¿Dirías que prefieres Fintechs sobre Bancos tradicionales?,"Si la anterior pregunta fue que tienes usos diferentes para Fintechs y Bancos Tradicionales responde que usos si no, escribe NA. ","Si has utilizado tanto Fintechs como bancos tradicionales, ¿qué factor influyó MÁS en tu preferencia?","¿Qué tan difícil te resulta completar una transacción típica (transferencia, pago de servicio) en tu app bancaria principal?","Pensando en la última vez que usaste tu app bancaria, ¿qué fue lo que más te FRUSTRÓ? (Selección múltiple)",Y ¿qué fue lo que más te GUSTÓ? (Selección múltiple),"Cuando tienes un problema con tu banco, ¿qué tipo de atención prefieres?",¿Qué tanto confías en tu institución financiera principal para manejar tu dinero y datos personales?,"¿Has tenido alguna vez una preocupación de seguridad con una institución financiera? Si fue así, ¿qué la causó? (Selección múltiple)",¿Cuál es tu banco principal?,¿Qué te haría cambiar de banco? (Selección múltiple),"¿Qué tipo de beneficios valoras más de tu banco? (Selección múltiple, máximo 3)",¿Qué tan importante es para ti tener acceso fácil a sucursales físicas?
29/4/2026 6:25:09,41-55,"$20,000MXN–$50,000MXN",3,No,Banca tradicional,Ninguno,Ninguna,No,NA,Solo uso bancos tradicionales ,1,Difícil encontrar funciones,Nada en particular,Atención humana,4,Fraude o cargo no autorizado,Banorte,"Comisiones más bajas, Recompensas más atractivas, Mejores tasas",Antigüedad ,5
29/4/2026 15:10:21,41-55,"Más de $50,000MXN",1,No,Banca tradicional,Ninguno,Ninguna,No,NA,NA,2,Nada me frustró,Diseño y facilidad de uso,Atención humana,4,Fraude o cargo no autorizado,Banamex,Recompensas más atractivas,Ninguno,3
29/4/2026 16:23:44,41-55,Prefiero no decir,1,No,Banca tradicional,Ninguno,"Seguridad de mi dinero, Falta de sucursales físicas, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",No,NA,Confianza institucional,1,Nada me frustró,"Velocidad, Diseño y facilidad de uso, Funciones disponibles, Seguridad (biometría, alertas)",Atención humana,4,No he tenido ningún problema,Banorte,"Comisiones más bajas, Mejor atención, Mala experiencia con mi banco actual","Puntos canjeables, Acceso anticipado a productos, Descuentos en comercios",5
29/4/2026 16:53:20,41-55,"$10,000MXN–$20,000MXN",2,Si,Ambos,"Mercado pago, Spin by Oxxo","Seguridad de mi dinero, Soporte limitado, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",No,Na,Confianza institucional,1,Errores o caídas,"Seguridad (biometría, alertas)",Depende del tipo de problema,5,No he tenido ningún problema,Banjercito ,"Mejor app, Recompensas más atractivas","Descuentos en comercios, Tasas de rendimiento, Seguridad ",5
29/4/2026 17:02:40,41-55,"$10,000MXN–$20,000MXN",3,He escuchado el término pero no estoy seguro,Banca tradicional,"Nu (Nu Bank), Klar",Seguridad de mi dinero,Tengo usos diferentes para Fintechs y Bancos Tradicionales,Fintechs para compras línea y uber,Comisiones bajas,2,Errores o caídas,Diseño y facilidad de uso,Depende del tipo de problema,5,Mal soporte ante un problema,Banamex,Comisiones más bajas,Sin comisiones,5
29/4/2026 17:03:43,41-55,"$20,000MXN–$50,000MXN",2,Si,Ambos,Nu (Nu Bank),"Seguridad de mi dinero, Regulación o respaldo institucional (IPAB)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,Prefiero los bancos por la seguridad (ipab) y las fintechs porque ofrecen rendimientos más altos que los bancos,Confianza institucional,1,Nada me frustró,"Velocidad, Diseño y facilidad de uso, Funciones disponibles, Notificaciones útiles",Atención humana,4,Fraude o cargo no autorizado,Banamex,"Recompensas más atractivas, Mejores tasas",Acceso anticipado a productos,3
29/4/2026 17:08:35,41-55,"Más de $50,000MXN",4 o más,Si,Banca tradicional,Mercado pago,Regulación o respaldo institucional (IPAB),No,NA,Confianza institucional,1,Errores o caídas,"Velocidad, Diseño y facilidad de uso, Seguridad (biometría, alertas)",Atención humana,4,Phishing,Inbursa,Comisiones más bajas,"Cashback, Beneficios de viaje, Tasas de rendimiento",5
29/4/2026 17:08:57,41-55,"$20,000MXN–$50,000MXN",3,Si,Ambos,Mercado pago,"Seguridad de mi dinero, Soporte limitado, Riesgo tecnológico (caídas, hackeos)",No,NA,Recompensas,1,A veces lis datos de la cuenta a transferir no es completo. A veces no acepta números de cuenta o tarjeta.,"Funciones disponibles, Notificaciones útiles, Seguridad (biometría, alertas)",Atención humana,5,Fraude o cargo no autorizado,Banamex,"Recompensas más atractivas, Mejores tasas","Sin comisiones, Tasas de rendimiento",3
29/4/2026 17:17:36,41-55,Prefiero no decir,3,Si,Ambos,"Nu (Nu Bank), Stori","Seguridad de mi dinero, Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,NA,"Fintechs por los rendimientos que otorga, banca tradicional por la facilidad en el uso.",1,Nada me frustró,"Velocidad, Diseño y facilidad de uso, Funciones disponibles, Notificaciones útiles",Depende del tipo de problema,2,No he tenido ningún problema,Banamex,"Comisiones más bajas, Recompensas más atractivas",Ninguno,2
29/4/2026 17:25:12,41-55,"$10,000MXN–$20,000MXN",2,Si,Banca tradicional,Ninguno,Ninguna,Si,NA,Confianza institucional,3,"Tiempos de carga, Procesos con muchos pasos","Funciones disponibles, Notificaciones útiles",Depende del tipo de problema,3,Fraude o cargo no autorizado,BBVA,"Comisiones más bajas, Recompensas más atractivas, Mejores tasas","Puntos canjeables, Sin comisiones",3
29/4/2026 17:30:13,41-55,Prefiero no decir,1,No,Banca tradicional,Ninguno,Ninguna,No,NA,No uso fintechs,1,Nada me frustró,"Velocidad, Diseño y facilidad de uso, Funciones disponibles",Depende del tipo de problema,5,No he tenido ningún problema,HSBC,"Recompensas más atractivas, Mala experiencia con mi banco actual","Puntos canjeables, Descuentos en comercios, Sin comisiones",5
29/4/2026 17:37:22,41-55,Prefiero no decir,2,Si,Banca tradicional,Ninguno,"Falta de sucursales físicas, Soporte limitado, Riesgo tecnológico (caídas, hackeos)",No,NA,Confianza institucional,1,Errores o caídas,"Velocidad, Diseño y facilidad de uso, Funciones disponibles, Nada en particular",Depende del tipo de problema,3,No he tenido ningún problema,Banamex,Comisiones más bajas,"Descuentos en comercios, Sin comisiones, Tasas de rendimiento",5
29/4/2026 17:37:26,26-40,"$10,000MXN–$20,000MXN",3,No,Banca tradicional,Nu (Nu Bank),"Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",No,Na,Rápidez,1,Errores o caídas,Recompensas o cashback,Depende del tipo de problema,3,No he tenido ningún problema,Banjercito ,Recompensas más atractivas,Cashback,5
30/4/2026 19:20:18,18-25,"$10,000MXN–$20,000MXN",2,Si,Ambos,"Nu (Nu Bank), Mercado pago",Regulación o respaldo institucional (IPAB),No,na,Atención al cliente,1,Difícil encontrar funciones,"Diseño y facilidad de uso, Funciones disponibles",Atención humana,4,No he tenido ningún problema,BBVA,"Recompensas más atractivas, Mejores tasas, Mala experiencia con mi banco actual","Sin comisiones, Tasas de rendimiento",2
1/5/2026 20:22:36,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Ninguno,Ninguna,No,NA,Rápidez,4,"Procesos con muchos pasos, Login o autenticación",Velocidad,Asistente AI o chatbot,5,Fraude o cargo no autorizado,Santander,"Mejor app, Mejor atención, Mejores tasas","Cashback, Acceso anticipado a productos, Tasas de rendimiento",5
1/5/2026 20:26:12,56+,"Más de $50,000MXN",2,No,Banca tradicional,Ninguno,Ninguna,No,NA,NA,1,Nada me frustró,Diseño y facilidad de uso,Depende del tipo de problema,4,No he tenido ningún problema,BBVA,Recompensas más atractivas,"Cashback, Puntos canjeables",1
1/5/2026 20:26:23,18-25,"$20,000MXN–$50,000MXN",2,Si,Ambos,"Nu (Nu Bank), Albo","Seguridad de mi dinero, Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,Generalmente tienen mejores tazas de rendimiento las fintechs,Experiencia,2,Errores o caídas,Diseño y facilidad de uso,Atención humana,5,Mal soporte ante un problema,Banorte,"Recompensas más atractivas, Mala experiencia con mi banco actual","Cashback, Sin comisiones, Tasas de rendimiento",3
1/5/2026 20:26:26,26-40,"$10,000MXN–$20,000MXN",2,No,Banca tradicional,Spin by Oxxo,Ninguna,No,Na,Recompensas,1,Nada me frustró,Nada en particular,Atención humana,5,No he tenido ningún problema,Santander,Mala experiencia con mi banco actual,Ninguno,5
1/5/2026 20:27:01,18-25,"$10,000MXN–$20,000MXN",2,Si,Ambos,Albo,Regulación o respaldo institucional (IPAB),No,NA,Experiencia,3,"Tiempos de carga, Procesos con muchos pasos",Funciones disponibles,Depende del tipo de problema,4,Fraude o cargo no autorizado,Banorte,"Comisiones más bajas, Recompensas más atractivas, Recomendación cercana","Acceso anticipado a productos, Descuentos en comercios, Beneficios de viaje",3
1/5/2026 20:28:26,26-40,"Menos de $10,000 MXN",3,He escuchado el término pero no estoy seguro,Banca tradicional,Nu (Nu Bank),"Falta de sucursales físicas, Soporte limitado",Tengo usos diferentes para Fintechs y Bancos Tradicionales,En una manejo el dinero y las otras son para compras ,Recompensas,1,Soporte difícil de contactar,Diseño y facilidad de uso,Depende del tipo de problema,3,Mal soporte ante un problema,Banamex,"Comisiones más bajas, Recompensas más atractivas",Ninguno,3
1/5/2026 20:28:38,41-55,"$20,000MXN–$50,000MXN",3,Si,Ambos,Nu (Nu Bank),"Seguridad de mi dinero, Falta de sucursales físicas, Soporte limitado, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",No,NA,Confianza institucional,1,"Difícil encontrar funciones, Soporte difícil de contactar","Funciones disponibles, Seguridad (biometría, alertas)",Atención humana,3,No he tenido ningún problema,HSBC,"Mejor atención, Recompensas más atractivas, Mala experiencia con mi banco actual",Cashback,4
1/5/2026 20:31:02,26-40,"Más de $50,000MXN",4 o más,No,Banca tradicional,Ninguno,Ninguna,No,Na,Recompensas,1,Login o autenticación,Velocidad,Atención humana,5,Fraude o cargo no autorizado,Scotiabank,"Comisiones más bajas, Mejor app, Recompensas más atractivas, Mejores tasas","Cashback, Beneficios de viaje, Sin comisiones",5
1/5/2026 20:32:16,26-40,"$10,000MXN–$20,000MXN",1,He escuchado el término pero no estoy seguro,Banca tradicional,Spin by Oxxo,"Seguridad de mi dinero, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,Banco tradicional para pagos y ahorro y fintrhs solo lo uso para hacer pagos de servicio de la misma sucursal Oxxo pagos de Oxxo y claro pay mi telefonía ,Rápidez,1,Errores o caídas,Velocidad,Depende del tipo de problema,4,No he tenido ningún problema,BBVA,Mala experiencia con mi banco actual,Ninguno,5
1/5/2026 20:42:47,56+,"Más de $50,000MXN",2,No,Banca tradicional,Mercado pago,Ninguna,Tengo usos diferentes para Fintechs y Bancos Tradicionales,NA,Atención al cliente,1,Nada me frustró,Nada en particular,Atención humana,3,Fraude o cargo no autorizado,Banamex,Mala experiencia con mi banco actual,Ninguno,3
1/5/2026 20:43:10,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Ninguno,Ninguna,No,NA,no he usado,2,"Procesos con muchos pasos, Difícil encontrar funciones","Seguridad (biometría, alertas), Recompensas o cashback",Atención humana,4,No he tenido ningún problema,Santander,"Mejor app, Recompensas más atractivas, Mala experiencia con mi banco actual",Cashback,4
1/5/2026 20:59:04,56+,"$20,000MXN–$50,000MXN",2,No,Banca tradicional,Nu (Nu Bank),Falta de sucursales físicas,Tengo usos diferentes para Fintechs y Bancos Tradicionales,NA,Rápidez,4,"Tiempos de carga, Errores o caídas, Difícil encontrar funciones",Funciones disponibles,Atención humana,2,Mal soporte ante un problema,HSBC,Comisiones más bajas,Descuentos en comercios,3
1/5/2026 20:59:40,41-55,"$10,000MXN–$20,000MXN",2,No,Banca tradicional,Ninguno,Ninguna,No,NA,Atención al cliente,1,Nada me frustró,Nada en particular,Depende del tipo de problema,3,Fraude o cargo no autorizado,Santander,Mejor app,"Cashback, Sin comisiones",5
1/5/2026 21:04:04,41-55,"$20,000MXN–$50,000MXN",3,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,Seguridad de mi dinero,No,NA,Na,2,"Procesos con muchos pasos, Login o autenticación",Velocidad,Atención humana,5,Fraude o cargo no autorizado,BBVA,"Mejor app, Mejor atención","Descuentos en comercios, Sin comisiones",5
1/5/2026 21:14:46,41-55,"Más de $50,000MXN",4 o más,Si,Banca tradicional,Albo,Ninguna,No,NA,Rápidez,1,"Procesos con muchos pasos, Difícil encontrar funciones",Velocidad,Atención humana,5,No he tenido ningún problema,Banorte,"Mejor app, Mala experiencia con mi banco actual","Cashback, Puntos canjeables, Acceso anticipado a productos",5
1/5/2026 21:22:54,18-25,"$10,000MXN–$20,000MXN",1,Si,Banca tradicional,Ninguno,Ninguna,No,NA,No uso,1,Difícil encontrar funciones,"Velocidad, Seguridad (biometría, alertas)",Atención humana,5,Fraude o cargo no autorizado,BBVA,"Mejor app, Recompensas más atractivas","Cashback, Tasas de rendimiento",3
1/5/2026 21:29:54,26-40,"$20,000MXN–$50,000MXN",2,Si,Ambos,Mercado pago,"Riesgo tecnológico (caídas, hackeos)",No,NA,Recompensas,1,Login o autenticación,Velocidad,Depende del tipo de problema,5,Mal soporte ante un problema,Santander,Mejor app,Beneficios de viaje,3
1/5/2026 21:30:14,56+,"Más de $50,000MXN",3,Si,Banca tradicional,Ninguno,Seguridad de mi dinero,No,N/A,N/A,1,Nada me frustró,"Velocidad, Diseño y facilidad de uso, Funciones disponibles",Atención humana,5,No he tenido ningún problema,BBVA,"Comisiones más bajas, Mejor app, Mejor atención, Recompensas más atractivas, Mejores tasas","Puntos canjeables, Descuentos en comercios",3
1/5/2026 21:33:57,18-25,"Menos de $10,000 MXN",2,Si,Ambos,Nu (Nu Bank),"Falta de sucursales físicas, Regulación o respaldo institucional (IPAB)",Si,NA,Atención al cliente,2,"Tiempos de carga, Difícil encontrar funciones, Login o autenticación, Soporte difícil de contactar","Notificaciones útiles, Seguridad (biometría, alertas), Recompensas o cashback",Depende del tipo de problema,5,No he tenido ningún problema,BBVA,"Comisiones más bajas, Mejor app, Recompensas más atractivas, Mejores tasas","Descuentos en comercios, Sin comisiones, Tasas de rendimiento",5
1/5/2026 21:35:59,41-55,"Más de $50,000MXN",3,Si,Ambos,Albo,"Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,"Tradicionales: transferencias internacionales, pagos de impuestos, inversiones y créditos; fintechs día a día, nómina, operaciones 24/7. ",Experiencia,1,Procesos con muchos pasos,Funciones disponibles,Depende del tipo de problema,3,Mal soporte ante un problema,Santander,"Comisiones más bajas, Mejor atención, Mejores tasas","Sin comisiones, Tasas de rendimiento",3
1/5/2026 21:37:39,56+,"$10,000MXN–$20,000MXN",2,No,Banca tradicional,Ninguno,Ninguna,No,NA,Rápidez,2,Tiempos de carga,"Diseño y facilidad de uso, Seguridad (biometría, alertas)",Atención humana,3,Fuga o uso indebido de datos,HSBC,Recompensas más atractivas,"Puntos canjeables, Descuentos en comercios, Beneficios de viaje",5
1/5/2026 21:42:07,18-25,"Menos de $10,000 MXN",2,Si,Ambos,"Mercado pago, Spin by Oxxo","Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,"Inversiones, transferencias, pagos de servicios ",Confianza institucional,1,Nada me frustró,"Velocidad, Diseño y facilidad de uso, Seguridad (biometría, alertas), Recompensas o cashback",Depende del tipo de problema,4,No he tenido ningún problema,Santander,"Recompensas más atractivas, Recomendación cercana","Cashback, Descuentos en comercios, Tasas de rendimiento",5
1/5/2026 21:44:22,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Ninguno,Seguridad de mi dinero,No,NA,Confianza institucional,2,Nada me frustró,"Diseño y facilidad de uso, Seguridad (biometría, alertas)",Atención humana,5,No he tenido ningún problema,Banorte,"Recompensas más atractivas, Mala experiencia con mi banco actual",Puntos canjeables,5
1/5/2026 21:46:31,18-25,"$10,000MXN–$20,000MXN",3,He escuchado el término pero no estoy seguro,Banca tradicional,Spin by Oxxo,"Seguridad de mi dinero, Regulación o respaldo institucional (IPAB)",No,NA,Recompensas,1,Nada me frustró,"Velocidad, Notificaciones útiles, Seguridad (biometría, alertas), Recompensas o cashback",Depende del tipo de problema,5,No he tenido ningún problema,Santander,"Mejor app, Recompensas más atractivas","Sin comisiones, Tasas de rendimiento",4
1/5/2026 21:48:30,56+,"Más de $50,000MXN",1,No,Banca tradicional,Ninguno,Ninguna,No,NA,Recompensas,1,Nada me frustró,"Diseño y facilidad de uso, Seguridad (biometría, alertas)",Atención humana,5,Fraude o cargo no autorizado,Banamex,"Comisiones más bajas, Mala experiencia con mi banco actual",Puntos canjeables,5
1/5/2026 21:53:01,41-55,Prefiero no decir,4 o más,Si,Ambos,"Nu (Nu Bank), Mercado pago, Klar, Kueski Pay","Seguridad de mi dinero, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,Compras en línea ,Rápidez,1,"Difícil encontrar funciones, Soporte difícil de contactar",Velocidad,Atención humana,2,Mal soporte ante un problema,BBVA,"Comisiones más bajas, Mejor atención, Mejores tasas","Puntos canjeables, Sin comisiones, Tasas de rendimiento",3
1/5/2026 22:07:49,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,ninguno,Ninguna,No,NA,NA,1,Tiempos de carga,Funciones disponibles,Depende del tipo de problema,3,No he tenido ningún problema,BBVA,Recompensas más atractivas,"Cashback, Descuentos en comercios, Sin comisiones",5
1/5/2026 22:37:22,56+,Prefiero no decir,4 o más,No,Banca tradicional,"Nu (Nu Bank), Spin by Oxxo","Seguridad de mi dinero, Falta de sucursales físicas, Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,Apenas empecé a utilizar Nu,Rápidez,1,"Procesos con muchos pasos, Errores o caídas, Soporte difícil de contactar",Nada en particular,Atención humana,3,Fraude o cargo no autorizado,HSBC,"Mejor app, Mejor atención, Cargo de comisiones que no aplican",Ninguno,5
1/5/2026 22:46:06,18-25,"Menos de $10,000 MXN",2,Si,Banca tradicional,"Nu (Nu Bank), Mercado pago","Soporte limitado, Riesgo tecnológico (caídas, hackeos)",Si,NA,Rápidez,1,"Errores o caídas, Soporte difícil de contactar","Velocidad, Diseño y facilidad de uso",Atención humana,4,No he tenido ningún problema,BBVA,"Mejor atención, Recompensas más atractivas","Sin comisiones, Tasas de rendimiento",5
1/5/2026 23:08:49,18-25,"Menos de $10,000 MXN",2,He escuchado el término pero no estoy seguro,Banca tradicional,Nu (Nu Bank),"Seguridad de mi dinero, Falta de sucursales físicas, Soporte limitado",No,NA,Recompensas,1,Tiempos de carga,Diseño y facilidad de uso,Atención humana,3,Mal soporte ante un problema,Banorte,"Mejor atención, Recompensas más atractivas",Ninguno,4
1/5/2026 23:50:43,56+,"$20,000MXN–$50,000MXN",2,Si,Ambos,Nu (Nu Bank),Falta de sucursales físicas,Tengo usos diferentes para Fintechs y Bancos Tradicionales,N/A,Confianza institucional,1,Nada me frustró,Diseño y facilidad de uso,Depende del tipo de problema,4,No he tenido ningún problema,BBVA,"Mejor atención, Mejores tasas","Puntos canjeables, Sin comisiones, Tasas de rendimiento",4
1/5/2026 23:55:42,18-25,"Menos de $10,000 MXN",2,No,Banca tradicional,Mercado pago,Seguridad de mi dinero,No,na ,Rápidez,1,Errores o caídas,"Seguridad (biometría, alertas)",Atención humana,5,No he tenido ningún problema,BBVA,Mala experiencia con mi banco actual,Sin comisiones,4
2/5/2026 0:23:20,56+,"$10,000MXN–$20,000MXN",1,No,Banca tradicional,Ninguno,Seguridad de mi dinero,No,NA,Confianza institucional,5,Difícil encontrar funciones,Nada en particular,Atención humana,2,Fraude o cargo no autorizado,Santander,Comisiones más bajas,"Puntos canjeables, Acceso anticipado a productos, Tasas de rendimiento",5
2/5/2026 0:34:37,18-25,"$10,000MXN–$20,000MXN",2,He escuchado el término pero no estoy seguro,Ambos,Mercado pago,Ninguna,Tengo usos diferentes para Fintechs y Bancos Tradicionales,Ocupo la Fintechs como cuenta de ahorro y mi cuenta de banco tradicional para lo demás ,Comisiones bajas,1,Tiempos de carga,"Seguridad (biometría, alertas)",Atención humana,3,Fraude o cargo no autorizado,BBVA,"Comisiones más bajas, Mejor atención, Recomendación cercana","Puntos canjeables, Acceso anticipado a productos",5
2/5/2026 0:40:15,26-40,"Menos de $10,000 MXN",3,No,Ambos,"Mercado pago, Kueski Pay","Seguridad de mi dinero, Soporte limitado, Regulación o respaldo institucional (IPAB)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,"Uso las Fintechs para transferir y pagar servicios (agua, luz, etc.)",Experiencia,3,"Tiempos de carga, Procesos con muchos pasos, Difícil encontrar funciones","Diseño y facilidad de uso, Seguridad (biometría, alertas)",Atención humana,5,No he tenido ningún problema,Banamex,"Mejor app, Mejor atención, Recompensas más atractivas, Mejores tasas","Acceso anticipado a productos, Descuentos en comercios, Sin comisiones",4
2/5/2026 1:16:40,56+,"$20,000MXN–$50,000MXN",3,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,"Seguridad de mi dinero, Soporte limitado, Riesgo tecnológico (caídas, hackeos)",No,NA,Comisiones bajas,1,Nada me frustró,"Velocidad, Diseño y facilidad de uso, Notificaciones útiles, Seguridad (biometría, alertas)",Depende del tipo de problema,3,Fraude o cargo no autorizado,Santander,"Comisiones más bajas, Mejor atención, Recompensas más atractivas, Mejores tasas","Acceso anticipado a productos, Descuentos en comercios",2
2/5/2026 1:23:04,56+,"$20,000MXN–$50,000MXN",3,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,"Seguridad de mi dinero, Riesgo tecnológico (caídas, hackeos)",No,NA,Comisiones bajas,2,Login o autenticación,"Diseño y facilidad de uso, Notificaciones útiles, Seguridad (biometría, alertas)",Atención humana,3,Fraude o cargo no autorizado,Santander,"Comisiones más bajas, Mejor atención, Recompensas más atractivas, Mejores tasas","Puntos canjeables, Acceso anticipado a productos, Descuentos en comercios",2
2/5/2026 5:11:11,41-55,"$10,000MXN–$20,000MXN",2,He escuchado el término pero no estoy seguro,Ambos,Nu (Nu Bank),Falta de sucursales físicas,No,NA,Experiencia,2,"Tiempos de carga, Procesos con muchos pasos","Diseño y facilidad de uso, Funciones disponibles",Atención humana,5,Phishing,BBVA,Recompensas más atractivas,"Acceso anticipado a productos, Descuentos en comercios",5
2/5/2026 7:30:26,18-25,"Menos de $10,000 MXN",1,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,"Seguridad de mi dinero, Riesgo tecnológico (caídas, hackeos)",No,NA,Confianza institucional,2,"Tiempos de carga, Difícil encontrar funciones","Seguridad (biometría, alertas)",Atención humana,4,No he tenido ningún problema,BBVA,"Comisiones más bajas, Mejor app, Mejores tasas",Ninguno,4
2/5/2026 8:19:17,18-25,"Menos de $10,000 MXN",1,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,Ninguna,No,NA,Confianza institucional,1,Nada me frustró,"Velocidad, Diseño y facilidad de uso, Funciones disponibles, Seguridad (biometría, alertas)",Depende del tipo de problema,4,Fraude o cargo no autorizado,BBVA,"Mejor app, Mejor atención","Descuentos en comercios, Beneficios de viaje",3
2/5/2026 14:06:29,26-40,"$20,000MXN–$50,000MXN",4 o más,Si,Banca tradicional,"Nu (Nu Bank), Spin by Oxxo, Bankaool ","Seguridad de mi dinero, Falta de sucursales físicas, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,Uso fintechs para que me de rendimientos y bancos tradicionales para compras con tarjeta de crédito y promociones o preventas ,Recompensas,1,"Difícil encontrar funciones, Soporte difícil de contactar","Diseño y facilidad de uso, Funciones disponibles, Notificaciones útiles, Seguridad (biometría, alertas)",Depende del tipo de problema,3,Fraude o cargo no autorizado,Banorte,"Recompensas más atractivas, Mejores tasas, Mala experiencia con mi banco actual","Puntos canjeables, Acceso anticipado a productos",5
2/5/2026 14:47:53,18-25,"Menos de $10,000 MXN",2,Si,Ambos,"Nu (Nu Bank), Mercado pago",Seguridad de mi dinero,Tengo usos diferentes para Fintechs y Bancos Tradicionales,"Prefiero las fintechs por su mayor atractivo en métodos de ahorro, ya que te ofrecen más beneficios ",Recompensas,2,Procesos con muchos pasos,"Seguridad (biometría, alertas), Recompensas o cashback",Atención humana,4,No he tenido ningún problema,BBVA,Recompensas más atractivas,Sin comisiones,5
2/5/2026 19:26:27,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Ninguno,"Seguridad de mi dinero, Falta de sucursales físicas",No,NA,No he usado,1,La app falla a cada rato,Diseño y facilidad de uso,Atención humana,4,No he tenido ningún problema,Banamex,"Recomendación cercana, Mejores tasas, Mala experiencia con mi banco actual","Cashback, Beneficios de viaje, Tasas de rendimiento",5
2/5/2026 21:32:50,18-25,"$10,000MXN–$20,000MXN",1,No,Banca tradicional,Ninguno,"No lo conozco, por lo tanto no podría contestar. ",No,NA,No aplica ,1,Nada me frustró,Diseño y facilidad de uso,Depende del tipo de problema,5,No he tenido ningún problema,BBVA,"Comisiones más bajas, Recompensas más atractivas, Mejores tasas","Puntos canjeables, Descuentos en comercios, Tasas de rendimiento",5
2/5/2026 21:44:07,18-25,"Menos de $10,000 MXN",1,Si,Ambos,Nu (Nu Bank),Ninguna,Tengo usos diferentes para Fintechs y Bancos Tradicionales,Banco tradicional para gastos en general y Nu lo ocupo para guardar mi dinero en y ahorrar para que crezca en una cajita.,Confianza institucional,1,Tiempos de carga,"Seguridad (biometría, alertas), Recompensas o cashback",Atención humana,5,No he tenido ningún problema,BBVA,"Recomendación cercana, Mejores tasas, Mala experiencia con mi banco actual","Cashback, Descuentos en comercios, Tasas de rendimiento",3
2/5/2026 21:57:18,18-25,"Menos de $10,000 MXN",2,No,Banca tradicional,Nu (Nu Bank),Ninguna,No,NA,Rápidez,3,Errores o caídas,Diseño y facilidad de uso,Atención humana,4,App o web insegura,Inbursa,Mejor app,"Puntos canjeables, Beneficios de viaje",4
2/5/2026 23:12:57,18-25,"$10,000MXN–$20,000MXN",2,Si,Ambos,Revolut ,"Seguridad de mi dinero, Falta de sucursales físicas, Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,"Lo banco tradicional lo ocupo para hacer transferencias normalmente y pagar todo lo que ocupe el dia a día. Mientras que Revolut lo ocupo para guardar mi dinero, ver el tipo de cambio y hacer gestión sobre los ahorros que voy metiendo.",Recompensas,2,Soporte difícil de contactar,"Velocidad, Diseño y facilidad de uso",Atención humana,4,Fraude o cargo no autorizado,Santander,"Mejor atención, Recomendación cercana, Mejores tasas, Mala experiencia con mi banco actual","Cashback, Beneficios de viaje, Sin comisiones",4
2/5/2026 23:52:33,18-25,"$10,000MXN–$20,000MXN",2,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,Ninguna,No,NA,No lo he hecho ,1,Problemas en la actualización de estados financieros ,"Velocidad, Diseño y facilidad de uso, Seguridad (biometría, alertas), Recompensas o cashback",Depende del tipo de problema,3,Mal soporte ante un problema,BBVA,Mejores tasas,"Puntos canjeables, Tasas de rendimiento",2
